Player	Pos	Squad	Gls
Piotr-Swierczewski	MF	pl Poland	0
Tony-Sylva	GK	sn Senegal	0
Thomas-Sorensen	GK	dk Denmark	0
Choi-Tae-uk	MF	kr Korea Republic	0
Kim-Tae-young	DF	kr Korea Republic	0
Ricardo-Tavarelli	GK	py Paraguay	0
Rajko-Tavcar	DFMF	si Slovenia	0
Bill-Tchato	DF	cm Cameroon	0
Nawaf-Al-Temyat	MF	sa Saudi Arabia	0
Carlos-Tenorio	FW	ec Ecuador	0
Edwin-Tenorio	MF	ec Ecuador	0
Pape-Thiaw	FW	sn Senegal	0
Lilian-Thuram	DF	fr France	0
Li-Tie	FWMF	cn China PR	0
Senad-Tiganj	FW	si Slovenia	0
Kazuyuki-Toda	MF	jp Japan	0
Stjepan-Tomas	DF	hr Croatia	0
Damiano-Tommasi	MF	it Italy	0
Curro-Torres	DF	es Spain	0
Francesco-Totti	FWMF	it Italy	0
Hatem-Trabelsi	DF	tn Tunisia	0
David-Trezeguet	FW	fr France	0
Diego-Tristan	FW	es Spain	0
Redha-Tukar	DF	sa Saudi Arabia	0
Stig-Tofting	MF	dk Denmark	0
Ifeanyi-Udeze	DF	ng Nigeria	0
Hakan-Unsal	DF	tr Turkey	0
John-Utaka	FWMF	ng Nigeria	0
Vampeta	MF	br Brazil	0
Daniel-Van-Buyten	DF	be Belgium	0
Nico-Van-Kerckhoven	DFFW	be Belgium	0
Eric-Van-Meir	DF	be Belgium	0
Yves-Vanderhaeghe	MF	be Belgium	0
Gustavo-Varela	MF	uy Uruguay	0
Darius-Vassell	FWMF	eng England	0
Gert-Verheyen	FWMF	be Belgium	0
Sven-Vermant	MF	be Belgium	0
Manuel-Vidrio	DF	mx Mexico	0
Patrick-Vieira	MF	fr France	0
Jurica-Vranjes	MF	hr Croatia	0
Muamer-Vugdalic	DF	si Slovenia	0
Davor-Vugrinec	FWMF	hr Croatia	0
Abdullah-Al-Waked	MF	sa Saudi Arabia	0
Harold-Wallace	DFMF	cr Costa Rica	0
Tomasz-Waldoch	DF	pl Poland	0
Du-Wei	DF	cn China PR	0
Li-Weifeng	DF	cn China PR	0
Taribo-West	DF	ng Nigeria	0
Sylvain-Wiltord	FWMF	fr France	0
Josh-Wolff	FW	us United States	0
Pierre-Wome	DF	cm Cameroon	0
Lee-Woon-jae	GK	kr Korea Republic	0
Xavi	MF	es Spain	0
Abel-Xavier	DF	pt Portugal	0
Li-Xiaopeng	MF	cn China PR	0
Al-Hasan-Al-Yami	FW	sa Saudi Arabia	0
Atsushi-Yanagisawa	FW	jp Japan	0
Joseph-Yobo	DF	ng Nigeria	0
Choi-Yong-soo	FW	kr Korea Republic	0
Lee-Young-pyo	DF	kr Korea Republic	0
Xu-Yunlong	DF	cn China PR	0
Zlatko-Zahovic	FWMF	si Slovenia	0
Gianluca-Zambrotta	DF	it Italy	0
Cristiano-Zanetti	MF	it Italy	0
Javier-Zanetti	DFMF	ar Argentina	0
Michal-Zewlakow	DF	pl Poland	0
Fan-Zhiyi	DF	cn China PR	0
Zinedine-Zidane	MF	fr France	0
Christian-Ziege	DFMF	de Germany	0
Jacek-Zielinski	MF	pl Poland	0
Ali-Zitouni	FWMF	tn Tunisia	0
Boris-Zivkovic	DF	hr Croatia	0
Abdullah-Zubromawi	DF	sa Saudi Arabia	0
Sibusiso-Zuma	FWMF	za South Africa	0
Maciej-Zurawski	FW	pl Poland	0
